,locus_tag,deg_id
514,BSU_05010,DNEG10010434
515,BSU_05020,DNEG10010435
516,BSU_05030,DNEG10010436
517,BSU_05040,DNEG10010437
518,BSU_05050,DNEG10010438
519,BSU_05060,DNEG10010439
520,BSU_05070,DNEG10010440
521,BSU_05080,DNEG10010441
522,BSU_05090,DNEG10010442
523,BSU_05099,DNEG10012031
524,BSU_05100,DNEG10010444
525,BSU_05109,DNEG10010445
526,BSU_05110,DNEG10010446
527,BSU_05120,DNEG10010447
528,BSU_05130,DNEG10010448
529,BSU_05140,DNEG10010449
530,BSU_05150,DNEG10010450
531,BSU_05160,DNEG10010451
532,BSU_05170,DNEG10010452
533,BSU_05180,DNEG10010453
534,BSU_05190,DNEG10010454
535,BSU_05200,DNEG10010455
536,BSU_05210,DNEG10010456
537,BSU_05220,DNEG10010457
538,BSU_05230,DNEG10010458
539,BSU_05240,DNEG10010459
540,BSU_05250,DNEG10010460
541,BSU_05260,DNEG10010461
542,BSU_05270,DNEG10010462
543,BSU_05280,DNEG10010463
544,BSU_05290,DNEG10010464
545,BSU_05300,DNEG10010465
546,BSU_05310,DNEG10010466
547,BSU_05320,DNEG10010467
548,BSU_05329,DNEG10010468
549,BSU_05330,DNEG10010469
550,BSU_05340,DNEG10010470
551,BSU_05350,DNEG10010471
552,BSU_05360,DNEG10010472
553,BSU_05370,DNEG10010473
554,BSU_05380,DNEG10010474
555,BSU_05390,DNEG10010475
556,BSU_05400,DNEG10010476
557,BSU_05408,DNEG10010477
558,BSU_05409,DNEG10010478
559,BSU_05410,DNEG10010479
560,BSU_05420,DNEG10010480
561,BSU_05430,DNEG10010481
562,BSU_05440,DNEG10010482
563,BSU_05450,DNEG10010483
564,BSU_05460,DNEG10010484
565,BSU_05470,DNEG10010485
566,BSU_05480,DNEG10010486
567,BSU_05490,DNEG10010487
568,BSU_05500,DNEG10010488
569,BSU_05510,DNEG10010489
570,BSU_05520,DNEG10010490
571,BSU_05529,DNEG10010491
572,BSU_05530,DNEG10010492
573,BSU_05540,DNEG10010493
574,BSU_05550,DNEG10010494
575,BSU_05560,DNEG10010495
576,BSU_05570,DNEG10010496
577,BSU_05580,DNEG10010497
578,BSU_05590,DNEG10010498
579,BSU_05600,DNEG10010499
580,BSU_05610,DNEG10010500
581,BSU_05620,DNEG10010501
582,BSU_05630,DNEG10010502
583,BSU_05640,DNEG10010503
584,BSU_05650,DNEG10010504
585,BSU_05660,DNEG10010505
586,BSU_05670,DNEG10010506
587,BSU_05680,DNEG10010507
588,BSU_05690,DNEG10010508
589,BSU_05700,DNEG10010509
590,BSU_05710,DNEG10010510
591,BSU_05720,DNEG10010511
592,BSU_05730,DNEG10010512
593,BSU_05740,DNEG10010513
594,BSU_05750,DNEG10010514
595,BSU_05760,DNEG10010515
596,BSU_05770,DNEG10010516
597,BSU_05780,DNEG10010517
598,BSU_05790,DNEG10010518
599,BSU_05800,DNEG10010519
600,BSU_05810,DNEG10010520
601,BSU_05820,DNEG10010521
602,BSU_05830,DNEG10010522
603,BSU_05840,DNEG10010523
604,BSU_05850,DNEG10010524
605,BSU_05860,DNEG10010525
606,BSU_05870,DNEG10010526
607,BSU_05880,DNEG10010527
608,BSU_05900,DNEG10010528
609,BSU_05910,DEG10010073
610,BSU_05920,DEG10010074
611,BSU_05930,DNEG10010529
612,BSU_05940,DEG10010075
613,BSU_05950,DNEG10010530
614,BSU_05960,DNEG10010531
615,BSU_05970,DNEG10010532
616,BSU_05980,DNEG10010533
617,BSU_05990,DNEG10010534
618,BSU_06000,DNEG10010535
619,BSU_06010,DNEG10010536
620,BSU_06020,DEG10010076
621,BSU_06030,DEG10010077
622,BSU_06040,DNEG10010537
623,BSU_06048,DNEG10010538
624,BSU_06060,DEG10010078
625,BSU_06070,DEG10010079
626,BSU_06090,DNEG10010539
627,BSU_06100,DNEG10010540
628,BSU_06110,DNEG10010541
629,BSU_06120,DNEG10010542
630,BSU_06130,DNEG10010543
631,BSU_06140,DNEG10010544
632,BSU_06150,DNEG10010545
633,BSU_06160,DNEG10010546
634,BSU_06170,DNEG10010547
635,BSU_06180,DNEG10010548
636,BSU_06190,DNEG10010549
637,BSU_06200,DNEG10010550
638,BSU_06210,DNEG10010551
639,BSU_06220,DNEG10010552
640,BSU_06230,DNEG10010553
641,BSU_06240,DNEG10010554
642,BSU_06250,DNEG10010555
643,BSU_06260,DNEG10010556
644,BSU_06269,DNEG10010557
645,BSU_06270,DNEG10010558
646,BSU_06280,DNEG10010559
647,BSU_06290,DNEG10010560
648,BSU_06300,DNEG10010561
649,BSU_06310,DNEG10010562
650,BSU_06319,DNEG10010563
651,BSU_06320,DNEG10010564
652,BSU_06330,DNEG10010565
653,BSU_06340,DNEG10010566
654,BSU_06350,DNEG10010567
655,BSU_06360,DNEG10010568
656,BSU_06370,DNEG10010569
657,BSU_06380,DNEG10010570
658,BSU_06390,DNEG10010571
659,BSU_06400,DNEG10010572
660,BSU_06410,DNEG10010573
661,BSU_06420,DNEG10010574
662,BSU_06430,DNEG10010575
663,BSU_06440,DNEG10010576
664,BSU_06450,DNEG10010577
665,BSU_06460,DNEG10010578
666,BSU_06470,DNEG10010579
667,BSU_06480,DNEG10010580
668,BSU_06490,DNEG10010581
669,BSU_06500,DNEG10010582
670,BSU_06510,DNEG10010583
671,BSU_06520,DNEG10010584
672,BSU_06530,DNEG10010585
673,BSU_06540,DNEG10010586
674,BSU_06550,DNEG10010587
675,BSU_06559,DNEG10010588
676,BSU_06560,DNEG10010589
677,BSU_06570,DNEG10010590
678,BSU_06580,DNEG10010591
679,BSU_06590,DNEG10010592
680,BSU_06600,DNEG10010593
681,BSU_06610,DEG10010080
682,BSU_06620,DEG10010081
683,BSU_06630,DNEG10010594
684,BSU_06640,DNEG10010595
685,BSU_06650,DNEG10010596
686,BSU_06660,DNEG10010597
687,BSU_06670,DEG10010082
688,BSU_06680,DEG10010083
689,BSU_06690,DEG10010084
690,BSU_06700,DNEG10010598
691,BSU_06710,DNEG10010599
692,BSU_06720,DEG10010085
693,BSU_06730,DNEG10010600
694,BSU_06740,DNEG10010601
695,BSU_06750,DNEG10010602
696,BSU_06760,DNEG10010603
697,BSU_06770,DNEG10010604
698,BSU_06780,DNEG10010605
699,BSU_06790,DNEG10010606
700,BSU_06800,DNEG10010607
701,BSU_06811,DNEG10010608
702,BSU_06812,DNEG10010609
703,BSU_06820,DNEG10010610
704,BSU_06830,DNEG10010611
705,BSU_06839,DNEG10010612
706,BSU_06840,DNEG10010613
707,BSU_06850,DNEG10010614
708,BSU_06860,DNEG10010615
709,BSU_06870,DNEG10010616
710,BSU_06880,DNEG10010617
711,BSU_06890,DNEG10010618
712,BSU_06900,DNEG10010619
713,BSU_06910,DNEG10010620
714,BSU_06920,DNEG10010621
715,BSU_06930,DNEG10010622
716,BSU_06940,DNEG10010623
717,BSU_06950,DNEG10010624
718,BSU_06960,DNEG10010625
719,BSU_06970,DNEG10010626
720,BSU_06980,DNEG10010627
721,BSU_06990,DNEG10010628
722,BSU_07000,DNEG10010629
723,BSU_07010,DNEG10010630
724,BSU_07020,DNEG10010631
725,BSU_07030,DNEG10010632
726,BSU_07040,DNEG10010633
727,BSU_07050,DNEG10010634
728,BSU_07060,DNEG10010635
729,BSU_07070,DNEG10010636
730,BSU_07080,DNEG10010637
731,BSU_07090,DNEG10010638
732,BSU_07100,DNEG10010639
733,BSU_07110,DNEG10010640
734,BSU_07120,DNEG10010641
735,BSU_07130,DNEG10010642
736,BSU_07140,DNEG10010643
737,BSU_07150,DNEG10010644
738,BSU_07160,DNEG10010645
739,BSU_07190,DNEG10010646
740,BSU_07200,DNEG10010647
741,BSU_07210,DNEG10010648
742,BSU_07220,DNEG10010649
743,BSU_07230,DNEG10010650
744,BSU_07240,DNEG10010651
745,BSU_07250,DNEG10010652
746,BSU_07260,DNEG10010653
747,BSU_07270,DNEG10010654
748,BSU_07280,-
749,BSU_07290,DNEG10010656
750,BSU_07300,DNEG10010657
751,BSU_07310,DNEG10010658
752,BSU_07320,DNEG10010659
753,BSU_07330,DNEG10010660
754,BSU_07340,DNEG10010661
755,BSU_07350,DNEG10010662
756,BSU_07360,DNEG10010663
757,BSU_07370,DNEG10010664
758,BSU_07380,DNEG10010665
759,BSU_07390,DNEG10010666
760,BSU_07400,DNEG10010667
761,BSU_07410,DNEG10010668
762,BSU_07420,DNEG10010669
763,BSU_07430,DNEG10010670
764,BSU_07440,DNEG10010671
765,BSU_07450,DNEG10010672
766,BSU_07460,DNEG10010673
767,BSU_07480,DNEG10010674
768,BSU_07490,DNEG10010675
769,BSU_07500,DNEG10010676
770,BSU_07510,DNEG10010677
771,BSU_07520,DNEG10010678
772,BSU_07530,DNEG10010679
773,BSU_07550,DNEG10010681
774,BSU_07560,DNEG10010682
775,BSU_07570,DNEG10010683
776,BSU_07580,DNEG10010684
777,BSU_07590,DNEG10010685
778,BSU_07600,DNEG10010686
779,BSU_07610,DNEG10010687
780,BSU_07620,DNEG10010688
781,BSU_07630,DNEG10010689
782,BSU_07640,DNEG10010690
783,BSU_07650,DNEG10010691
784,BSU_07660,DNEG10010692
785,BSU_07670,DNEG10010693
786,BSU_07680,DNEG10010694
787,BSU_07690,DNEG10010695
788,BSU_07700,DNEG10010696
789,BSU_07710,DNEG10010697
790,BSU_07720,DNEG10010698
791,BSU_07735,DNEG10010699
792,BSU_07750,DNEG10010700
793,BSU_07760,DNEG10010701
794,BSU_07770,DNEG10010702
795,BSU_07780,DNEG10010703
796,BSU_07790,DNEG10010704
797,BSU_07800,DNEG10010705
798,BSU_07810,DNEG10010706
799,BSU_07820,DNEG10010707
800,BSU_07830,DNEG10010708
801,BSU_07840,DNEG10010709
802,BSU_07850,DNEG10010710
803,BSU_07860,DNEG10010711
804,BSU_07870,DNEG10010712
805,BSU_07880,DNEG10010713
806,BSU_07890,DNEG10010714
807,BSU_07900,DNEG10010715
808,BSU_07910,DNEG10010716
809,BSU_07920,DNEG10010717
810,BSU_07930,DNEG10010718
811,BSU_07940,DNEG10010719
812,BSU_07955,DNEG10010720
813,BSU_07970,DNEG10010721
814,BSU_07980,DNEG10010722
815,BSU_07990,DNEG10010723
816,BSU_08000,DNEG10010724
817,BSU_08010,DNEG10010725
818,BSU_08020,DNEG10010726
819,BSU_08029,DNEG10010727
820,BSU_08030,DNEG10010728
821,BSU_08040,DNEG10010729
822,BSU_08050,DNEG10010730
823,BSU_08060,DNEG10010731
824,BSU_08070,DNEG10010732
825,BSU_08080,DNEG10010733
826,BSU_08090,DNEG10010734
827,BSU_08100,DNEG10010735
